Property Name,Address,Year Ending,Property GFA - Self-Reported (ft²),Year Built,Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),Fuel Oil #2 Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Direct GHG Emissions (Metric Tons CO2e)
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2012 12:00:00 AM,17000,1905,131284.9,11.02,1202118,,97.1,1651164.3,89.3
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2011 12:00:00 AM,17000,1905,116720,10.7,1578996,,116.4,1978314.5,117.2
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2010 12:00:00 AM,17000,1905,120026.3,9.24,1348812,,103.5,1759266.1,100.1
Robert F. Kennedy Elementary School,"195 Nelson St, Providence, RI 02908",06/30/2016 12:00:00 AM,49840,1921,135266.2,27602.73,,77,64.6,3221801.4,146.6
Department of Communications,"215 West Exchange Street Providence, Rhode Island 02903",06/30/2017 12:00:00 AM,13608,1987,270651.2,7546.88,,,123.3,1678149.8,40.1
E-Cubed Academy,"812 Branch Ave, Providence, RI 02904",06/30/2012 12:00:00 AM,44600,2004,328235.3,9005.97,0,89,45.3,2020535.6,47.8
Department of Recreation,"One Recreation Way Providence, Rhode Island 02904",06/30/2014 12:00:00 AM,4186,2001,52103.2,0,103500,,67.2,281276.1,7.7
Rochambeau Avenue Fire Station,"270 Rochambeau Avenue Providence, RI 02906",06/30/2017 12:00:00 AM,7400,1928,29445.8,8422.55,,,127.4,942723.7,44.7
Steven M. Shaw District 5 Substation,"204 Magnolia St, Providence, RI 02909",06/30/2010 12:00:00 AM,546,1996,6829.3,452,0,,125.5,68501.6,2.4
Allens Avenue Fire Station,"776 Allens Avenue Providence, RI 02905",06/30/2010 12:00:00 AM,9440,1948,70096.1,0,716634,,101.3,955802,53.2
Selim Madelin Rogers Recreation Center,"60 Camden Ave, Providence, RI 02908",06/30/2011 12:00:00 AM,9350,2000,55590.4,6941.94,0,,94.5,883868.5,36.9
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2014 12:00:00 AM,17000,1905,119158.1,17.47,1756602,,127.3,2164916.8,130.4
Dr. Martin Luther King Elementary School,"35 Camp St, Providence, RI 02906",06/30/2012 12:00:00 AM,71724,1959,273843,28420.73,0,84,52.7,3776425.6,151
Admiral Street Fire Station,"426 Admiral Street Providence, RI 02908",06/30/2012 12:00:00 AM,12850,1924,74738.1,7093.05,246192,,94.2,1210503.2,55.9
Dr. Martin Luther King Elementary School,"35 Camp St, Providence, RI 02906",06/30/2011 12:00:00 AM,71724,1959,271221.8,3718,0,87,52.1,3739786.5,201
Dr. Martin Luther King Elementary School,"35 Camp St, Providence, RI 02906",06/30/2010 12:00:00 AM,71724,1959,275280,3845,2882681.9,81,58.6,4206437.2,234.3
Dr. Robert F. Roberti Administration Building,"797 Westminster St., Providence, RI 02903",06/30/2015 12:00:00 AM,56744,1945,770897.1,22279.49,0,79,85.6,4858249.7,118.3
Windmill Annex (A Venture),"425 Branch Avenue Providence, Rhode Island 02904",06/30/2011 12:00:00 AM,25060,1930,15480,12102,0,92,50.4,1263017.6,64.3
Providence Police Academy,"200 Chad Brown Street Providence, RI 02908",06/30/2017 12:00:00 AM,20175,1928,33218.3,,,,58.5,1180165.5,64.1
